,Title,Score,Score Title,Number of Reviews,Description,Nearest Metropolis,City,Hotel Brand,Type,Star
455,JW Marriott Desert Springs Resort & Spa,8.5, Very Good ,375,"This Palm Springs resort's amenities include 2 championship golf courses, and a complex of 5 pools. Its luxuriously furnished rooms include LCD TVs and marble bathrooms. ",Palm Springs,Palm Desert,Marriott,Hotel,5
456,Sheraton Los Angeles San Gabriel,8.5, Very Good ,316,"Located in San Gabriel, Sheraton Los Angeles San Gabriel has air-conditioned rooms with free WiFi. ",Los Angeles,San Gabriel,Sheraton,Hotel,5
457,"The Langham Huntington, Pasadena",9.0, Awesome ,606,"Just a 15-minute drive away from Central Los Angeles, The Langham Huntington, Pasadena is surrounded by 23 acres of lush gardens. ",Los Angeles,Pasadena,Langham,Hotel,5
458,La Casa del Zorro Resort,9.1, Awesome ,333,"With 5 outdoor pools and 6 tennis courts, this luxurious resort is a 10-minute drive from Anza-Borrego Desert State Park. Plush bathrobes and free Wi-Fi are included in all rooms. ",San Diego,Borrego Springs,Local,Hotel,5
459,Montage Laguna Beach,9.2, Awesome ,108,"On the beach, this luxurious Laguna Beach resort features an ocean-facing pool and a terrace. All rooms feature a deep, marble soaking bathtub, and there are three on-site restaurants. ",Los Angeles,Laguna Beach,Montage,Hotel,5
460,Four Seasons Hotel Silicon Valley at East Palo Alto,8.9, Excellent ,115,"Located 3 mi from Stanford University, this boutique hotel features a rooftop lap pool and a spa with a steam room. It features an on-site restaurant. All rooms offer a 42-inch flat-screen TV. ",San Francisco,Palo Alto,Four Seasons,Hotel,5
461,Carneros Resort and Spa,8.4, Very Good ,92,"Perched atop Napa Valley, the Carneros Resort and Spa features 3 outdoor pools, 3 full-service gourmet restaurants and an award-winning spa. ",Napa,Napa,Local,Hotel,5
462,Château du Sureau,9.4, Awesome ,25,"Located in Oakhurst, Château du Sureau features a seasonal outdoor swimming pool and garden. This 5-star hotel offers a 24-hour front desk. The property has a restaurant. ",San Francisco,Oakhurst,Local,Hotel,5
463,"The Ritz-Carlton, Laguna Niguel",8.3, Very Good ,39,"This luxury hotel is located on a bluff overlooking the Pacific Ocean and offers beach access. The hotel features a full-service spa, 2 outdoor pools, multiple dining options and a tennis court. ",Los Angeles,Dana Point,Ritz-Carlton,Hotel,5
464,Terranea - L.A.'s Oceanfront Resort,9.0, Awesome ,363,"Nestled on 102 private acres of California's secluded Palos Verdes Peninsula, Terranea - L.A.'s Oceanfront Resort offers scenic views of the Pacific Ocean and Catalina Island. ",Los Angeles,Rancho Palos Verdes,Local,Hotel,5
465,"The Ritz-Carlton, Half Moon Bay",8.8, Excellent ,100,"Located on a cliff with a full spa overlooking the Pacific Ocean, The Ritz-Carlton, Half Moon Bay is surrounded by 2 championship golf courses. It features spacious rooms and 2 fine dining...",San Francisco,Half Moon Bay,Ritz-Carlton,Hotel,5
466,Meadowood Napa Valley,9.3, Awesome ,43,"Meadowood Napa Valley offers an elegant on-site restaurant, wine tastings, and tennis lessons. It is 5 minutes' drive from downtown St Helena and the Meadowood Golf Club is on site. ",Napa,St. Helena,Local,Hotel,5
467,The Clement Hotel - All Inclusive,9.6, Exceptional ,58,"Set in Palo Alto in the heart of Silicon Valley and 0.9 mi from Stanford University, The Clement Hotel – All Inclusive features a heated outdoor pool, a hot tub and private cabanas. ",San Francisco,Palo Alto,Local,Hotel,5
468,"The Ritz-Carlton, Rancho Mirage",9.3, Awesome ,322,"Surrounded by the picturesque Santa Rosa Mountain Range, this Rancho Mirage hotel features 2 outdoor pools, a child's pool and a spa and health club. ",Palm Springs,Rancho Mirage,Ritz-Carlton,Hotel,5
469,Four Seasons Residence Club Aviara,9.2, Awesome ,58,"This Carlsbad resort offers accommodation with fully-equipped kitchens and kitchenettes. Two outdoor swimming pools, restaurants and a health spa are located on site. ",San Diego,Carlsbad,Four Seasons,Hotel,5
470,Balboa Bay Resort,9.2, Awesome ,197,"Overlooking Balboa Bay in Newport Beach, California, this 15-acre resort is 10 minutes from Huntington Beach. ",Los Angeles,Newport Beach,Local,Hotel,5
471,Parker Palm Springs,8.8, Excellent ,255,"Just a 4 minute drive from Palm Springs International Airport, this luxurious resort features 3 pools, a spa center and 2 restaurants on-site. It offers uniquely-styled guest rooms with free Wi-Fi. ",Palm Springs,Palm Springs,Local,Hotel,5
472,"La Quinta Resort & Club, A Waldorf Astoria Resort",8.9, Excellent ,273,"This luxury resort features 41 pools, 53 hot tubs, 23 tennis courts, and spacious rooms with a flat-screen TV. ",Palm Springs,La Quinta,Waldorf Astoria,Hotel,5
473,Ojai Valley Inn,9.3, Awesome ,104,"Surrounded by scenic hills and mountains, this historic and celebrated resort features a full health spa and a championship golf course. ",Santa Barbara,Ojai,Local,Hotel,5
474,Inn Paradiso,9.4, Awesome ,38,Located in the Paso Robles wine region of California. Inn Paradiso features an outdoor pool and a large private garden of fruit trees. ,San Luis Obispo,Paso Robles,Local,Hotel,5
475,Las Alcobas Napa Valley- A Luxury Collection,8.9, Excellent ,15,"Located a 9-minute walk from Culinary Institute of America at Greystone, Las Alcobas Napa Valley- A Luxury Collection in St. Helena provides rooms with air conditioning and free WiFi. ",Napa,St. Helena,Luxury Collection,Hotel,5
476,Cottage Inn & Spa,9.6, Exceptional ,95,"Featuring a spa and health club on site, Cottage Inn & Spa is in Sonoma. Free Wi-Fi access is available. Free wine passes are available for select Sonoma wineries. ",Napa,Sonoma,Local,Hotel,5
477,Rosewood Sand Hill,9.0, Awesome ,42,"Located on 16 private acres, Rosewood Sand Hill offers sophisticated accommodations in West Menlo Park. ",San Francisco,Menlo Park,Rosewood,Hotel,5
478,"The Claremont Club & Spa, A Fairmont Hotel",8.8, Excellent ,423,"Located in Berkeley, California, this iconic hotel features 22 acres of landscaped gardens and a rejuvenating spa. ",San Francisco,Berkeley,Fairmont,Hotel,5
479,The Napa Inn,9.1, Awesome ,255,"Located one mile from the Wine Train and Oxbow Public Market, this Napa B&B offers on-site spa services. Guests can relax and socialize with an evening wine reception. ",Napa,Napa,Local,Hotel,5
480,Sands Hotel and Spa,9.1, Awesome ,55,Sands Hotel and Spa features free WiFi and views of mountain in Indian Wells. This hotel offers a 24-hour front desk. The hotel features a concierge service. ,Palm Springs,Indian Wells,Local,Hotel,5
481,Coho Cottages,9.0, Awesome ,18,"Located in Willow Creek, Coho Cottages offers a garden. This 5-star hotel offers a concierge service. Free WiFi is available. The rooms in the hotel are equipped with a flat-screen TV. ",Eureka,Willow Creek,Local,Hotel,5
482,Rosewood CordeValle,9.2, Awesome ,19,"Featuring an outdoor swimming pool, championship golf course, a full service spa and 3 fine dining restaurants, this luxury wine country resort is less than a 10 minute walk from on-site wine tasting...",San Francisco,San Martin,Rosewood,Hotel,5
483,Candlelight Inn Napa Valley,9.7, Exceptional ,341,"Set in a 1929 English Tudor inn, this adults-only Napa Valley bed and breakfast offers spacious, unique rooms and a three-course breakfast. Guests may enjoy the outdoor pool and patio. ",Napa,Napa,Local,Hotel,5
484,Park Hyatt Aviara,9.3, Awesome ,98,"Located 6 mi away from LEGOLAND California, Park Hyatt Aviara is located on Batiquitos Lagoon and features 5 restaurants, a 3,200 square foot swimming pool, 20 spa treatment rooms, and an indoor coed...",San Diego,Carlsbad,Hyatt,Hotel,5
485,Constellation Residences at Northstar,9.5, Exceptional ,8,"In Tahoe National Forest in Truckee, California, these luxury accommodations feature on-site dining and a spa. Each guest suite includes a gourmet kitchen and spa bathtub. ",Lake Tahoe,Truckee,Local,Hotel,5
486,Hydrangea Inn,9.7, Exceptional ,51,"Located in Eureka, just 15 minutes' drive from Moonstone Beach, this inn delivers a hot breakfast basket each morning. Rooms include a flat-screen cable TV. The Klamath River is 30 minutes' drive...",Eureka,Eureka,Local,Hotel,5
487,Monarch Beach Resort,8.8, Excellent ,131,"Located in Dana Point on a hillside overlooking the Pacific Ocean, this resort offers 7 on-site restaurants, in room dining, 3 swimming pools including a children’s pool, a championship golf course...",Los Angeles,Dana Point,Local,Hotel,5
488,The Neverending Story Home,9.9, Exceptional ,14,"Featuring an outdoor pool, The Neverending Story Home is in Anaheim. Free Wi-Fi access is available in this vacation home. Free on-site parking is provided. ",Los Angeles,Anaheim,Local,Hotel,5
489,Arbor Guest House,9.4, Awesome ,9,"Providing a free gourmet breakfast and a free wine and cheese hour daily, this Napa B&B features modern rooms with free WiFi. Napa Valley Wine Train is 1.2 mi away. ",Napa,Napa,Local,Hotel,5
490,Hilton Santa Barbara Beachfront Resort,7.9, Good ,442,"Located on the California coastline, the Hilton Santa Barbara Beachfront Resort features a large outdoor pool and views from every guest room. There are several casual dining options available as...",Santa Barbara,East Beach,Hilton,Resort,4
491,Loews Coronado Bay Resort,8.8, Excellent ,357,"Featuring 3 pools and a full service marina, this luxury resort is located on a 15-acre peninsula. It boasts on-site dining and spa services. Gondola rides are available. ",San Diego,Coronado,Loews,Resort,4
492,Coronado Island Marriott Resort & Spa,8.5, Very Good ,694,"Set on 16 acres of scenic waterfront, Marriott Coronado Island Resort & Spa is 5 mi away from San Diego's vibrant Gaslamp Quarter. ",San Diego,Coronado,Marriott,Resort,4
493,Luxe Sunset Boulevard Hotel,8.5, Very Good ,417,"Located along Los Angeles’s Sunset Boulevard, this modern hotel is just a 6-minute drive from Jackie Robinson Stadium.  It features an on-site restaurant, an outdoor pool, and rooms with free WiFi. ",Los Angeles,Westwood,Local,Resort,4
494,Paradise Point Resort & Spa,8.0, Very Good ,768,"On a lush, private island in Mission Bay, this beautiful resort features a full-service spa and tropical gardens. SeaWorld San Diego is just a 5-minute drive away. ",San Diego,Mission Bay,Local,Resort,4
495,"Kona Kai Resort & Spa, a Noble House Resort",7.9, Good ,517,"On Shelter Island, 3 miles from San Diego International Airport, the Kona Kai Resort has a private beach, an outdoor pool and an on-site spa. The guest rooms feature private balconies or patios. ",San Diego,Point Loma,Noble House,Resort,4
496,Hilton San Diego Resort & Spa,7.3, Good ,335,"Nestled on San Diego's Mission Bay, this resort offers luxurious spa services, a variety of recreational activities and great dining choices just 1 mi from San Diego SeaWorld. ",San Diego,Mission Bay,Hilton,Resort,4
497,L'Auberge Del Mar Resort and Spa,8.4, Very Good ,117,"Facing the Pacific Ocean in the charming coastal village of Del Mar, this luxury dog-friendly resort and spa offers first-class amenities and accommodations. ",San Diego,Del Mar ,Local,Resort,4
498,JW Marriott Santa Monica Le Merigot,8.6, Excellent ,235,"Next to Venice Beach and Santa Monica Pier, JW Marriott is inspired by the hotels on France's Cote d'Azur. It features an award-winning restaurant and a spa with pool, sauna and gym. ",Los Angeles,Santa Monica,Marriott,Resort,4
499,Marriott's Newport Coast Villas,8.9, Excellent ,195,"This hotel is situated on a bluff overlooking the Pacific Ocean, next to the Pelican Hill Golf Club. It has a heated grotto pool, and features villas with full kitchens. ",Los Angeles,Crystal Cove,Marriott,Resort,4
500,Malibu Beach Inn,9.2, Awesome ,274,"Featuring a soothing luxury spa and rooms with private balconies overlooking the beautiful Pacific Ocean, Malibu Beach Inn lies 10 miles outside downtown Malibu. Free WiFi is available. ",Los Angeles,Malibu,Local,Resort,4
501,Resort at Squaw Creek,8.9, Excellent ,354,"Nestled at the base of Squaw Valley USA, this all-season mountain resort is minutes from world-famous Lake Tahoe. Olympic Valley’s best summer and winter recreational activities are only steps away. ",Lake Tahoe,Olympic Valley,Local,Resort,4
502,Westin Desert Willow Villas,9.2, Awesome ,848,This property is 3 miles from downtown Palm Desert and 12 miles from the Palm Springs International Airport. The property offers an outdoor pool and villas with a kitchenette. ,Palm Springs,Palm Desert,Westin,Resort,4
503,Silverado Resort and Spa,8.4, Very Good ,677,"Located on 1,200 acres in Napa and minutes from over 400 wineries, the Silverado Resort and Spa features 1 tennis courts, 10 pools and 2 championship golf courses. Rooms offer free WiFi. ",Napa,Napa,Local,Resort,4
504,Vino Bello Resort,8.2, Very Good ,120,"Near several Napa Valley wineries and recreational activities, this all-suite property in Napa, California offers an on-site spa, 2 outdoor swimming pools and 2 fitness centers. ",Napa,Napa,Local,Resort,4
505,Miracle Springs Resort and Spa,7.7, Good ,695,"Located off California Highway 10, this Desert Hot Springs resort features a spa and wellness center, a 24-hour year round outdoor pool and hot tub and an on-site restaurant. ",Palm Springs,Desert Hot Springs,Local,Resort,4
506,Hyatt Regency Indian Wells Resort & Spa,8.5, Very Good ,223,"Offering an outdoor pool and a spa and wellness center, Hyatt Regency Indian Wells Resort & Spa also includes free Wi-Fi in all the guest rooms. Guests can enjoy several on-site restaurants as well. ",Palm Springs,Indian Wells,Hyatt,Resort,4
507,The Ranch at Laguna Beach,9.2, Awesome ,342,"Located in The Aliso and Wood Canyons, this 87-acre property offers 360-degree views, an outdoor heated pool, spa treatments, a sand volleyball court and the 9-hole par 32 Ben Brown's Golf Course. ",Los Angeles,Laguna Beach,Local,Resort,4
508,Hyatt Carmel Highlands,8.4, Very Good ,294,"Located on a cliff facing the Pacific Ocean, Hyatt Carmel Highlands offers charming accommodations among pine groves. ",Monterey,Carmel,Hyatt,Resort,4
509,Hyatt Regency Huntington Beach Resort and Spa,9.0, Awesome ,560,"Adjacent to the beach, Hyatt Regency Huntington Beach Resort and Spa offers surf and paddle boarding lessons. Two outdoor pools and spa services are available for guests. ",Los Angeles,Huntington Beach,Hyatt,Resort,4
510,Agua Caliente Casino Resort Spa-Rancho Mirage,9.1, Awesome ,492,"In the desert mountains of Rancho Mirage, this California resort includes on-site restaurants and a casino. Rooms include free Wi-Fi and a flat-screen TV. ",Palm Springs,Rancho Mirage,Local,Resort,4
511,Laguna Cliffs Marriott Resort & Spa,8.6, Excellent ,354,"Perched atop the cliffs of Dana Point overlooking the Pacific Ocean, Laguna Cliffs Resort & Spa features 2 year-round heated swimming pools that offer child-friendly zones. ",Los Angeles,Dana Point,Marriott,Resort,4
512,The Westin Mission Hills Villas,9.1, Awesome ,224,"With cultural adventures day and night, you'll experience true captivation in this Californian desert paradise that offers all the services and amenities you would expect from a resort. ",Palm Springs,Rancho Mirage,Westin,Resort,4
513,Snowcreek Resort,8.8, Excellent ,352,"Located 3 mi from the Mammoth Mountain Ski Area, Snowcreek Resort offers free access to Snowcreek Athletic Club and complimentary greens fees at Snowcreek Golf Course. ",Mammoth Lakes,Mammoth Lakes,Local,Resort,4
514,Hyatt Regency Newport Beach,8.1, Very Good ,947,"Featuring a free transfer service to John Wayne Airport 5 mi away, this resort offers an on-site golf course and 3 outdoor pools. ",Los Angeles,Newport Beach,Hyatt,Resort,4
515,"The Westin Monache Resort, Mammoth",8.7, Excellent ,421,"Situated in Mammoth Lakes, this resort is a gondola ride away from skiing at Mammoth Mountain. Ski passes and snowboard rentals are available on site. ",Mammoth Lakes,Mammoth Lakes,Westin,Resort,4
516,The Village Lodge,8.9, Excellent ,912,"Featuring direct access to a gondola and ski elevator at Mammoth Mountain Ski Area, the Village Lodge is surrounded by mountain views. ",Mammoth Lakes,Mammoth Lakes,Local,Resort,4
517,Snow Lake Lodge,9.2, Awesome ,121,"Nestled in the southern California mountains in the heart of Big Bear Lake, this mountain getaway features spacious, suite-style accommodations convenient to a range of year-round recreational...",Palm Springs,Big Bear Lake,Local,Resort,4
518,Tahoe Mountain Lodging,8.9, Excellent ,81,"Nestled in Truckee, California, this luxury ski resort is 6 miles from KidZone Museum. An outdoor skating rink and a sauna are located on site. ",Lake Tahoe,Truckee,Local,Resort,4
519,"Tahoe Seasons Resort, a VRI resort",8.4, Very Good ,207,"Located across the street from Heavenly Ski Resort, this suite-style resort in South Lake Tahoe offers guest rooms with free WiFi and a year-round, heated outdoor pool and hot tub. ",Lake Tahoe,South Lake Tahoe,Four Seasons,Resort,4
520,Dolphin Bay Resort and Spa,9.2, Awesome ,78,"Located less than a mile from the Palasades Bluff Walkway, this oceanfront resort features an infinity pool and hot tub. Rooms include a full kitchen and a private balcony. ",San Luis Obispo,Pismo Beach,Local,Resort,4
521,"The Riviera Palm Springs, a Tribute Portfolio Resort",7.5, Good ,990,"Experience first-class relaxation and luxury services such as a full-service spa at this Palm Springs hotel with world-class golf, shopping and sightseeing opportunities located just steps away. ",Palm Springs,Palm Springs,Local,Resort,4
522,Embassy Suites Palm Desert Resort,7.4, Good ,391,This hotel is within a 25-minute drive of Palm Springs and is adjacent to the El Paseo Shopping District. The hotel offers on-site tennis courts and suites with a separate living area. ,Palm Springs,Palm Desert,Embassy,Resort,4
523,The Meritage Resort and Spa,8.2, Very Good ,337,"Located in Southern Napa Valley, this resort is a 10-minute drive from downtown Napa. It features an outdoor pool and offers spa facilities and rooms with cable TV. ",Napa,Napa,Local,Resort,4
524,Marriott's Timber Lodge,8.9, Excellent ,169,This South Lake Tahoe hotel is at the base of Heavenly Ski Basin in the Eldorado National Forest. The suites offer free Wi-Fi. ,Lake Tahoe,South Lake Tahoe,Marriott,Resort,4
525,Borrego Springs Resort and Spa,8.7, Excellent ,594,"Cabanas surround the spacious outdoor pool at this Borrego Springsgolf  resort. Tennis courts, a spa, a fireside lounge, free Wi-Fi and a restaurant are available. ",San Diego,Borrego Springs,Local,Resort,4
526,LEGOLAND® California Resort and Castle Hotel,8.7, Excellent ,174,"Located in Carlsbad, LEGOLAND California Resort offers over 60 rides and shows. ",San Diego,Carlsbad,Local,Resort,4
527,Surf and Sand Resort,8.8, Excellent ,312,"Overlooking the Pacific Ocean, Surf and Sand Resort is located in the heart of Laguna Beach and offers its guests private beach access. ",Los Angeles,Laguna Beach,Local,Resort,4
528,Omni Rancho Las Palmas Resort & Spa,8.5, Very Good ,536,"Multiple water slides, splash zones and pools are available at this Palm Springs resort. Ranchos Las Palmas Country Club is onsite, rooms feature free WiFi and a flat-screen cable TV. ",Palm Springs,Rancho Mirage,Omni,Resort,4
529,Chumash Casino Resort,8.9, Excellent ,500,"Featuring free WiFi and a rooftop pool (for guests 21 years of age and older), Chumash Casino Resort offers accommodations in Santa Ynez. Guests can enjoy the on-site restaurants and casino. ",Santa Barbara,Santa Ynez,Local,Resort,4
530,The Westin Mission Hills Golf Resort & Spa,8.5, Very Good ,253,"On 360 acres, this Rancho Mirage resort features 2 world-class golf courses and a full-service spa. A 60-foot water slide is featured off of the the outdoor swimming pool. ",Palm Springs,Rancho Mirage,Westin,Resort,4
531,Marriott's Shadow Ridge II - The Enclaves,9.1, Awesome ,199,"Marriott's Shadow Ridge II offers self-catering rooms, an outdoor pool and an on-site golf course. There are 4 on-site restaurants. Palm Springs Aerial Tramway is 17 miles away. ",Palm Springs,Palm Desert,Marriott,Resort,4
532,Paséa Hotel & Spa,9.2, Awesome ,557,"Adjacent to the Huntington Beach Pier, Paséa Hotel & Spa features a spa center and watersports facilities. The resort has an outdoor pool and sun terrace. Guests can enjoy a meal at the restaurant. ",Los Angeles,Huntington Beach,Local,Resort,4
533,Omni La Costa Resort & Spa,8.6, Excellent ,102,"Offering two 18-hole championship golf courses, a full-service luxury spa and eight sparkling pools, Omni La Costa Resort & Spa is nestled on 400 acres in North San Diego County. ",San Diego,Carlsbad,Omni,Resort,4
534,"Miramonte Indian Wells Resort & Spa, Curio Collection",7.9, Good ,79,"Discover a peaceful and relaxing retreat and this luxurious resort and spa, situated in Indian Wells and offering stunning views of the Santa Rosa Mountains along with 3 pools, an on-site restaurant,...",Palm Springs,Indian Wells,Local,Resort,4
535,Marriott's Desert Springs Villas I,9.1, Awesome ,84,Marriott's Desert Springs Villas 1 is a part of 400-acre resort with 2 golf courses and 7 outdoor pool areas. It offers self-catering accommodation 14 miles from the Palm Springs airport. ,Palm Springs,Palm Desert,Marriott,Resort,4
536,"The Waterfront Beach Resort, A Hilton Hotel",8.8, Excellent ,518,The Waterfront Beach Resort  is a Mediterranean-Italian inspired resort in Southern California is just across the street to Huntington Beach. ,Los Angeles,Huntington Beach,Hilton,Resort,4
537,Sky Valley Mineral Hot Springs Resort,8.9, Excellent ,95,"Offering a natural hot spring mineral water pool and hot tub, Sky Valley Resort is located in Desert Hot Springs. ",Palm Springs,Desert Hot Springs,Local,Resort,4
538,"Cape Rey Carlsbad, a Hilton Resort",8.4, Very Good ,218,"Located next to the Pacific Ocean, Cape Rey Carlsbad, a Hilton Resort features an outdoor pool and an elevated spa area, an on-site bar and restaurant and rooms with free Wi-Fi. ",San Diego,Carlsbad,Hilton,Resort,4
539,Carmel Valley Ranch,8.8, Excellent ,78,"This all-suite countryside resort is on 500 acres in Carmel, California and is 9 miles from Carmel Beach City Park. A golf course is available at the resort. ",Monterey,Carmel Valley,Local,Resort,4
540,Chaminade Resort & Spa,7.9, Good ,134,"Set in the Santa Cruz mountain range of Northern California, the Chaminade Resort & Spa is 3.1 mi from the Santa Cruz Beach Boardwalk. ",San Francisco,Santa Cruz,Local,Resort,4
541,Sheraton Carlsbad Resort & Spa,8.7, Excellent ,93,"Next to the Pacific Ocean, this luxurious Carlsbad, California resort features an outdoor heated pool and a hot tub, a spa, an on-site restaurant and rooms with free Wi-Fi. ",San Diego,Carlsbad,Sheraton,Resort,4
542,Rancho Bernardo Inn,8.4, Very Good ,35,"Set in Rancho Bernardo, 23 mi from San Diego, Rancho Bernardo Inn features a year-round outdoor pool and spa center. ",San Diego,Rancho Bernardo,Local,Resort,4
543,North Block Hotel,9.4, Awesome ,86,"In Napa Valley, this Yountville, California hotel offers an on-site pool and hot tub. Spa services are available. ",Napa,Yountville,Local,Resort,4
544,Indian Springs Resort & Spa,9.2, Awesome ,156,"Set in Calistoga in the California Region, 1.4 mi from Sterling Vineyards, Indian Springs Resort & Spa features an outdoor pool and views of the garden. ",Napa,Calistoga,Local,Resort,4
545,Embarc Palm Desert,9.1, Awesome ,11,"Located in Palm Desert, Embarc Palm Desert is 4 miles from College of the Desert and provides facilities like tennis court and BBQ area. ",Palm Springs,Palm Desert,Local,Resort,4
546,Seascape Beach Resort,8.4, Very Good ,443,"Located in Aptos, Seascape Beach Resort is a luxurious oceanfront resort featuring three outdoor swimming pools with hot tubs and 2 restaurants on site. All accommodations includes free WiFi. ",Monterey,Aptos,Local,Resort,4
547,"Lake Arrowhead Resort and Spa, Autograph Collection",8.4, Very Good ,217,"Featuring a private lake front for guests, this hotel also has fishing, skiing, and a spa and health club. Rooms include cable TV. San Bernardino is a 40-minute drive away. ",Los Angeles,Lake Arrowhead,Autograph,Resort,4
548,Heritage House Resort & Spa,8.5, Very Good ,386,"Just 9 miles from the Navarro River Redwoods, this resort features a restaurant and bar on site. Guest rooms include a fireplace. Free WiFi is provided in all guest rooms at The Heritage House Resort....",Mendocino,Little River,Local,Resort,4
549,Tenaya Lodge at Yosemite,8.5, Very Good ,1240,"Nestled in the mountains 2 mi away from Yosemite National Park, the Tenaya Lodge features personalized services, modern amenities, and a full-service spa. ",Mammoth Lakes,Fish Camp,Local,Resort,4
550,South Coast Winery Resort & Spa,9.0, Awesome ,404,"Just a 15 minute drive from Old Town Temecula, this boutique resort is on a 38-acre state-of-the-art winery.  It features an on-site bar and restaurant, an outdoor pool and a spa and health club. ",Los Angeles,Temecula,Local,Resort,4
551,The Hotel at Black Oak Casino Resort,8.8, Excellent ,356,"Featuring an outdoor pool, a casino and restaurants, this Tuolumne, California resort has free Wi-Fi in all rooms. Free self-parking and valet parking are available. ",Mammoth Lakes,Tuolumne,Local,Resort,4
552,Rancho Valencia Resort and Spa,9.6, Exceptional ,10,"Located among the hills of Rancho Santa Fe, this beautiful, natural resort features a full-service spa, golf course and top-rated tennis courts. Free Wi-Fi is available at the resort. ",San Diego,Rancho Santa Fe,Local,Resort,4
553,Carter Estate Winery and Resort,9.4, Awesome ,269,"Offering an outdoor pool with covered cabanas with chaise lounge chairs and an on-site restaurant, Carter Estate Winery and Resort is located in Temecula. ",Los Angeles,Temecula,Local,Resort,4
554,"The Inn at Rancho Santa Fe, a Tribute Portfolio Resort & Spa",8.8, Excellent ,60,"Set on 21 acres of landscaped garden, this historic Rancho Santa Fe luxury resort offers a wellness spa, restaurant, fitness center, swimming pool and hot tub. ",San Diego,Rancho Santa Fe,Local,Resort,4
555,Sycamore Mineral Springs,8.5, Very Good ,642,"Including yoga classes for all guests, this San Luis Obispo, California resort is 2 miles from Avila Beach. ",San Luis Obispo,Avila Beach,Local,Resort,4
556,Hyatt Regency Monterey Hotel and Spa,8.1, Very Good ,2011,"Located 2 miles from Monterey Peninsula Airport, Hyatt Regency Monterey Hotel and Spa offers free airport shuttles, heated outdoor pools and a golf course. Rooms have 42-inch flat-screen HDTVs. ",Monterey,Monterey,Hyatt,Resort,4
557,Kirkwood Resort,7.9, Good ,133,"In the El Dorado National Forest, these accommodations provide access to cross country skiing and snowshoe trails. The property has rooms with a microwave and refrigerator. ",Mammoth Lakes,Kirkwood,Local,Resort,4
558,The Pines Resort & Conference Center,8.3, Very Good ,630,"Just 14 miles from Yosemite National Park, this lakefront California hotel features on-site dining, full-service marina and water sports facilities as well as an outdoor pool. ",Mammoth Lakes,Bass Lake,Local,Resort,4
559,Pechanga Resort Casino,8.8, Excellent ,315,"Boasting the largest casino floor in California, the Pechanga Resort Casino offers a golf course 20 miles inland from the Pacific Ocean and a heated swimming pool. ",Los Angeles,Temecula,Local,Resort,4
560,Thunder Valley Casino Resort,9.1, Awesome ,239,"Set in Lincoln in the California Region, 21 mi from Sacramento, Thunder Valley Casino Resort features a seasonal outdoor pool and spa center. ",Sacramento,Lincoln,Local,Resort,4
561,Temecula Creek Inn,8.2, Very Good ,165,"Surrounded with views of the mountains, Temecula Creek Inn is 56 mi from San Diego. The resort offers a 27-hole golf course and a year-round outdoor pool and hot tub. ",Los Angeles,Temecula,Local,Resort,4
562,Knott's Berry Farm Hotel,8.2, Very Good ,711,"Next to Knott’s Berry Farm Amusement Park, this hotel offers free shuttle service to Disneyland Theme Park, 6 miles away. It features a restaurant and spacious rooms with free Wi-Fi. ",San Diego,Buena Park,Local,Resort,4
563,Sanctuary Beach Resort,8.7, Excellent ,296,"This oceanfront hotel is located in Marina, California. The hotel offers views of the Pacific Ocean, a full-service spa, an on-site restaurant and in-room dining. ",Mammoth Lakes,Marina,Local,Resort,4
564,Viejas Casino & Resort,8.9, Excellent ,235,"Featuring a casino and nightclub, this resort offers rooms with free WiFi. A pool, hot tub, and on site spa are all available. Viejas Shopping Outlets is less than 5 minutes’ walk away. ",San Diego,Alpine,Local,Resort,4
565,"Hotel del Coronado, Curio Collection by Hilton",7.7, Good ,701,"This historic hotel is ideally situated along California's Pacific coastline and boasts luxurious accommodations, first-class amenities and exceptional service, in a charming Victorian-style...",San Diego,Coronado,Hilton,Resort,5
566,The Peninsula Beverly Hills,9.4, Awesome ,187,"Located in Beverly Hills, this hotel is 12 minutes' walk from shopping on Rodeo Drive. It features gourmet on-site dining options, a full-service spa and spacious guest rooms with flat-screen TVs. ",Los Angeles,Beverly Hills,Peninsula,Resort,5
567,Resort at Pelican Hill,9.1, Awesome ,188,"Featuring Italian Renaissance architecture, this 504 acre luxury resort features spacious bungalows and suites with flat-screen TVs and iPod docking stations. ",Los Angeles,Crystal Cove,Local,Resort,5
568,L'Horizon Resort & Spa,9.0, Awesome ,192,"Offering a spa center and hot tub, L'Horizon Resort & Spa Palm Springs is an adult only (21+) resort, 1.6 mi from Palm Springs Convention Center. Guests can enjoy the on-site restaurant. ",Palm Springs,Palm Springs Uptown,Local,Resort,5
569,"Beach Village at The Del, Curio Collection by Hilton",8.3, Very Good ,5,"Located on Coronado Island, Beach Village at The Del, Curio Collection by Hilton is an exclusive enclave of beach facing cottages and villas located at Coronado Beach. ",San Diego,Coronado,Hilton,Resort,5
570,Calamigos Guest Ranch and Beach Club,9.0, Awesome ,202,"Located on the California coast, Calamigos Guest Ranch and Beach Club offers pet-friendly accommodations in Malibu. ",Los Angeles,Malibu,Local,Resort,5
